model,threshold,tn,fp,fn,tp,fp_cost,fn_cost,total_cost,cost_per_transaction,missed_fraud_rate,investigation_rate
Decision Tree,0.5,1270875,6,4,1639,1,10,46,3.614863059557227e-05,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.5,1270766,115,3,1640,1,10,145,0.00011394677035560823,0.0018259281801582471,0.0013791488412006375
Decision Tree,0.5,1270875,6,4,1639,1,25,106,8.32990183289274e-05,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.5,1270766,115,3,1640,1,25,190,0.00014930956115562458,0.0018259281801582471,0.0013791488412006375
Decision Tree,0.5,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.5,1270766,115,3,1640,1,50,265,0.00020824754582231847,0.0018259281801582471,0.0013791488412006375
Decision Tree,0.5,1270875,6,4,1639,1,100,406,0.00031905095699570304,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.5,1270766,115,3,1640,1,100,415,0.0003261235151557063,0.0018259281801582471,0.0013791488412006375
Decision Tree,0.5,1270875,6,4,1639,1,200,806,0.0006333868752180705,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.5,1270766,115,3,1640,1,200,715,0.000561875453822482,0.0018259281801582471,0.0013791488412006375
