model,threshold,tn,fp,fn,tp,fp_cost,fn_cost,total_cost,cost_per_transaction,missed_fraud_rate,investigation_rate
Decision Tree,0.05,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.05,1270005,876,2,1641,1,50,976,0.0007669796404625767,0.0012172854534388314,0.0019779587654142478
Decision Tree,0.1,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.1,1270290,591,3,1640,1,50,741,0.0005823072885069358,0.0018259281801582471,0.0017532085838852548
Decision Tree,0.15,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.15,1270444,437,3,1640,1,50,587,0.00046128795999132434,0.0018259281801582471,0.0016321892553696432
Decision Tree,0.2,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.2,1270552,329,3,1640,1,50,479,0.0003764172620712851,0.0018259281801582471,0.001547318557449604
Decision Tree,0.25,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.25,1270628,253,3,1640,1,50,403,0.00031669343760903527,0.0018259281801582471,0.0014875947329873543
Decision Tree,0.3,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.3,1270667,214,3,1640,1,50,364,0.0002860456855823544,0.0018259281801582471,0.0014569469809606733
Decision Tree,0.35,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.35,1270690,191,3,1640,1,50,341,0.0002679713702845683,0.0018259281801582471,0.0014388726656628873
Decision Tree,0.4,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.4,1270716,165,3,1640,1,50,315,0.0002475395356001144,0.0018259281801582471,0.0014184408309784334
Decision Tree,0.45,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.45,1270745,136,3,1640,1,50,286,0.00022475018152899278,0.0018259281801582471,0.0013956514769073117
Decision Tree,0.5,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.5,1270766,115,3,1640,1,50,265,0.00020824754582231847,0.0018259281801582471,0.0013791488412006375
Decision Tree,0.55,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.55,1270781,100,3,1640,1,50,250,0.0001964599488889797,0.0018259281801582471,0.0013673612442672988
Decision Tree,0.6,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.6,1270795,86,3,1640,1,50,236,0.00018545819175119684,0.0018259281801582471,0.0013563594871295159
Decision Tree,0.65,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.65,1270800,81,3,1640,1,50,231,0.00018152899277341724,0.0018259281801582471,0.0013524302881517361
Decision Tree,0.7,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.7,1270813,68,3,1640,1,50,218,0.0001713130754311903,0.0018259281801582471,0.0013422143708095094
Decision Tree,0.75,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.75,1270825,56,4,1639,1,50,256,0.00020117498766231522,0.002434570906877663,0.0013319984534672824
Decision Tree,0.8,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.8,1270847,34,4,1639,1,50,234,0.000183886512160085,0.002434570906877663,0.001314709977965052
Decision Tree,0.85,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.85,1270868,13,4,1639,1,50,213,0.0001673838764534107,0.002434570906877663,0.001298207342258378
Decision Tree,0.9,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.9,1270869,12,4,1639,1,50,212,0.0001665980366578548,0.002434570906877663,0.001297421502462822
Decision Tree,0.95,1270875,6,4,1639,1,50,206,0.00016188299788451926,0.002434570906877663,0.0012927064636894864
XGBoost + SMOTE,0.95,1270878,3,4,1639,1,50,203,0.00015952547849785152,0.002434570906877663,0.0012903489443028186
